               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.036845,           0.0094111,           0.0071194,             0.94675,             0.94074,             0.98851,             0.66603,            0.016965,           0.0044887,           0.0051685,           0.0026551,           0.0026551,            0.071955
                  77,            0.036655,           0.0096629,           0.0080512,             0.70791,             0.96292,             0.84116,             0.53726,            0.022047,           0.0046448,           0.0047746,           0.0026792,           0.0026792,            0.071579
                  78,             0.03304,           0.0092426,           0.0064271,             0.94333,             0.92185,             0.97864,             0.68806,            0.016604,           0.0044207,           0.0059902,           0.0027028,           0.0027028,            0.071203
                  79,            0.037096,           0.0094242,           0.0077844,             0.91908,             0.92217,             0.95599,             0.65136,            0.016699,           0.0043681,           0.0051363,           0.0027262,           0.0027262,            0.070826
                  80,            0.036726,           0.0095236,           0.0052354,             0.83666,             0.87413,             0.93789,             0.53258,            0.019925,           0.0043482,           0.0043647,           0.0027491,           0.0027491,            0.070449
                  81,            0.034223,           0.0085748,           0.0070475,             0.90028,             0.96146,             0.98055,             0.79269,             0.01391,           0.0042695,           0.0065131,           0.0027716,           0.0027716,            0.070072
                  82,            0.033436,           0.0092099,           0.0058899,             0.88587,             0.95128,              0.9829,             0.75594,            0.016316,           0.0040579,           0.0056952,           0.0027938,           0.0027938,            0.069694
                  83,            0.039398,           0.0087619,            0.007314,             0.91111,             0.80155,              0.9223,             0.54892,            0.020727,           0.0044138,            0.006991,           0.0028155,           0.0028155,            0.069316
                  84,            0.035826,           0.0092334,           0.0068502,             0.89518,              0.9287,              0.9402,             0.64556,            0.016094,             0.00431,           0.0066373,           0.0028369,           0.0028369,            0.068937
                  85,            0.033613,           0.0093679,           0.0058807,             0.92982,             0.92523,              0.9811,             0.67805,            0.015974,           0.0043393,           0.0057849,           0.0028579,           0.0028579,            0.068558
                  86,            0.034105,           0.0089892,           0.0057593,             0.72393,             0.88319,             0.85894,             0.55725,             0.02024,           0.0047986,           0.0047085,           0.0028784,           0.0028784,            0.068178
                  87,            0.034421,           0.0088396,           0.0070578,             0.85922,             0.93533,             0.93334,             0.65831,            0.016338,           0.0043532,           0.0043323,           0.0028986,           0.0028986,            0.067799
                  88,            0.036663,           0.0091821,           0.0066195,             0.95311,             0.88838,             0.96209,              0.6689,            0.019401,           0.0042709,           0.0038899,           0.0029183,           0.0029183,            0.067418
                  89,            0.033943,           0.0090998,            0.006331,             0.93955,             0.92919,             0.98216,             0.69361,            0.014359,           0.0042663,           0.0046523,           0.0029377,           0.0029377,            0.067038
                  90,            0.032684,           0.0078392,           0.0059429,             0.82593,             0.93508,             0.90472,             0.54822,            0.018953,           0.0043184,           0.0041115,           0.0029566,           0.0029566,            0.066657
                  91,             0.03443,           0.0084452,           0.0055192,             0.96003,             0.94074,             0.99069,             0.75181,            0.015702,           0.0043111,           0.0043456,           0.0029752,           0.0029752,            0.066275
                  92,            0.033526,           0.0092801,            0.006231,             0.94185,             0.94789,             0.98626,             0.73974,            0.014081,           0.0041478,           0.0054673,           0.0029933,           0.0029933,            0.065893
                  93,            0.035253,           0.0091707,           0.0060403,             0.89969,             0.91909,             0.93409,             0.64521,            0.019231,           0.0042116,           0.0044175,            0.003011,            0.003011,            0.065511
                  94,             0.03519,           0.0085001,           0.0057854,             0.91473,             0.94417,             0.97529,             0.75841,            0.013696,           0.0038882,            0.005387,           0.0030283,           0.0030283,            0.065128
                  95,            0.038767,           0.0093666,           0.0064302,             0.85226,             0.94617,             0.93542,             0.65839,            0.017434,           0.0041407,           0.0058405,           0.0030452,           0.0030452,            0.064745
                  96,            0.031917,           0.0079453,           0.0053213,             0.92138,             0.94504,             0.96777,             0.66077,            0.015725,           0.0041136,           0.0062437,           0.0030616,           0.0030616,            0.064362
                  97,            0.034718,           0.0095894,           0.0068756,             0.88918,             0.98148,             0.98245,             0.73267,             0.01345,           0.0041177,           0.0055129,           0.0030777,           0.0030777,            0.063978
                  98,            0.030941,           0.0094793,           0.0062117,               0.922,             0.95992,              0.9763,             0.73584,            0.014131,           0.0040874,           0.0057387,           0.0030933,           0.0030933,            0.063593
                  99,            0.031253,           0.0080729,           0.0062239,             0.93284,             0.84235,             0.94678,             0.53483,            0.022003,           0.0042177,           0.0046345,           0.0031085,           0.0031085,            0.063208
                 100,            0.033817,           0.0091752,           0.0050954,             0.94348,              0.9355,             0.97775,             0.78582,            0.014967,           0.0040123,           0.0055404,           0.0031232,           0.0031232,            0.062823
                 101,            0.032444,            0.008553,           0.0066246,             0.85445,             0.92369,             0.95595,             0.64679,            0.015474,           0.0040482,           0.0049845,           0.0031376,           0.0031376,            0.062438
                 102,            0.028854,           0.0078981,           0.0060796,             0.93307,             0.93336,             0.97619,             0.77102,            0.013601,           0.0039288,             0.00514,           0.0031515,           0.0031515,            0.062052
                 103,            0.031999,           0.0083458,           0.0060549,             0.91296,             0.96296,             0.98365,             0.79769,            0.014435,           0.0037161,           0.0048971,            0.003165,            0.003165,            0.061665
                 104,             0.03078,            0.008111,            0.005766,             0.75765,             0.94074,              0.9119,             0.50568,            0.017511,           0.0037564,            0.003061,            0.003178,            0.003178,            0.061278
                 105,            0.028733,           0.0084567,           0.0049899,             0.92881,             0.98616,             0.97528,             0.73246,            0.012958,           0.0037488,           0.0039075,           0.0031907,           0.0031907,            0.060891
                 106,            0.032636,           0.0083563,           0.0059186,             0.94039,             0.96704,             0.98148,              0.7774,             0.01286,           0.0040103,           0.0044913,           0.0032029,           0.0032029,            0.060503
                 107,            0.028193,           0.0087788,           0.0055414,             0.95891,             0.94074,             0.97685,             0.77536,            0.014337,           0.0039064,            0.005263,           0.0032146,           0.0032146,            0.060115
                 108,            0.032995,           0.0084517,           0.0046237,             0.95237,              0.9223,             0.96309,             0.78982,             0.01241,           0.0040548,           0.0069221,            0.003226,            0.003226,            0.059726
                 109,            0.027691,           0.0087698,           0.0047053,             0.92108,             0.94074,             0.95801,             0.70741,            0.014728,           0.0041608,           0.0049351,           0.0032369,           0.0032369,            0.059337
                 110,            0.029925,           0.0083646,           0.0060409,             0.94897,             0.92596,             0.98319,             0.78973,            0.015076,           0.0039355,           0.0052951,           0.0032473,           0.0032473,            0.058947
                 111,            0.028949,            0.008194,           0.0043019,             0.95566,             0.94074,             0.98353,              0.7606,            0.013326,           0.0041313,           0.0044251,           0.0032574,           0.0032574,            0.058557
                 112,            0.029177,           0.0079835,           0.0051507,             0.98614,             0.94447,             0.98691,             0.78064,            0.011393,           0.0037064,           0.0038877,            0.003267,            0.003267,            0.058167
                 113,            0.029329,           0.0072969,           0.0059849,             0.94992,             0.94303,             0.98307,             0.72785,            0.016203,           0.0039403,           0.0041681,           0.0032761,           0.0032761,            0.057776
                 114,            0.030945,           0.0084708,           0.0042749,             0.90888,             0.92975,             0.96765,             0.73676,            0.015079,            0.004093,           0.0053288,           0.0032849,           0.0032849,            0.057385
                 115,            0.031839,           0.0082778,           0.0046231,             0.94996,             0.96622,             0.98103,             0.71967,            0.016047,           0.0040174,           0.0037563,           0.0032932,           0.0032932,            0.056993
                 116,            0.030258,           0.0079384,           0.0057831,              0.9859,             0.95928,              0.9881,             0.73905,            0.012717,           0.0037981,           0.0031617,            0.003301,            0.003301,            0.056601
